161,age,gender,genderpref,height,ethnicity,birthplace,Politics,religion,year,activities,college,major,brbs,snack,prelim,meme,friday,date,work,sleep,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,numdated,longestrelationship,toolongtext,commitment
item1,20,female,male,66,white,Cape Town,2,2,sophomore,"['greeklife', 'proffrat', 'clubsports', 'ta']",cals,"Applied economics and management, and biometry and statistics ",item11,item6,item7,item2,item5,item1,15:00,7to9,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Sort of Agree,Agree,2,4,36,willsee
item2,21,male,either,71,black,,2,1,junior,"['athlete', 'proffrat', 'clubsports', 'otherclub']",cals,Biological Sciences,item6,item5,item7,item6,item1,item7,13:30,4to6,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Agree,Agree,Agree,Agree,Sort of Agree,1,3,18,willsee
item6,20,female,either,64,latino,"queens, ny",3,1,senior,"['socialclub', 'culturalclub', 'ta']",cals,Interdisciplinary studies,item6,item4,item2,item6,item1,item1,18:00,7to9,Agree,Sort of Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Sort of Agree,Strongly Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,2,24,??? dumb question,willsee
item6,21,female,female,68,asian,Miami,2,1,senior,"['greeklife', 'proffrat', 'otherclub', 'ta']",cals,Applied Economics and Management,item6,item1,item6,item5,item5,item2,23:00,7to9,Agree,Sort of Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,1,6,2,meetfriends
item6,19,female,male,62,other,San Francisco ,3,2,freshman,"['greeklife', 'clubsports', 'otherclub']",humec,Fashion Design,item6,item5,item6,item5,item5,item1,16:00,7to9,Disagree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,2,12,NA: we are all busy ,willsee
item1,20,male,male,69,asian,Staten Island,2,4,sophomore,"['profclub', 'culturalclub', 'ra', 'otherclub', 'ta']",engineering,Computer Science,item13,item6,item2,item4,item2,item8,10:00,7to9,Sort of Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Strongly Agree,2,15,5,meetfam
item1,21,female,male,67,white,Rockville Centre ,2,1,senior,"['greeklife', 'ra', 'profclub']",engineering,Mechanical Engineering,item13,item6,item3,item5,item1,item1,15:30,7to9,Strongly Agree,Sort of Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Agree,0,1,24,meetfriends
item2,21,female,male,63,asian,Santa Clara,2,3,junior,"['greeklife', 'proffrat', 'profclub', 'socialclub', 'ta', 'otherclub']",hotel,Hotel Administration,item6,item3,item5,item2,item5,item7,21:00,4to6,Sort of Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,2,10,24,willsee
item3,18,male,female,74,asian,"Rockville, Maryland",3,1,freshman,"['greeklife', 'culturalclub', 'otherclub']",arts,Computer Science and Statistics,item13,item4,item3,item2,item5,item8,22:00,7to9,Sort of Agree,Agree,Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Disagree,Sort of Agree,Agree,2,6,24,willsee
item2,20,female,male,67,other,Damascus,2,3,junior,"['culturalclub', 'otherclub', 'projectteam']",arts,"Information Science, Urban and Regional Studies",item3,item3,item6,item6,item1,item8,17:00,7to9,Sort of Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,0,0,24,willsee
item6,19,male,female,68,asian,California,3,1,freshman,['culturalclub'],engineering,Computer Science,item13,item6,item1,item3,item2,item6,17:00,7to9,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Agree,Agree,0,0,24,meetfam
item5,19,female,male,65,black,Valley Stream,1,2,sophomore,"['ra', 'profclub']",cals,Biological Sciences,item5,item1,item3,item6,item1,item1,20:00,7to9,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Agree,Disagree,1,37 months,24 hours,willsee
item6,19,female,either,69,white,,2,3,sophomore,"['greeklife', 'ta', 'profclub']",engineering,Operations Research and Information Engineering,item6,item1,item5,item3,item5,item4,14:00,7to9,Strongly Agree,Sort of Agree,Strongly Disagree,Strongly Disagree,Disagree,Sort of Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,3,30,24,willsee
item6,17,male,female,75,white,Pittsburgh,3,1,freshman,['proffrat'],arts,Chemistry,item12,item1,item7,item2,item2,item7,8:00,4to6,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Sort of Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sort of Agree,Strongly Agree,3,42,24,
item2,18,female,male,65,white,Mineola,2,2,freshman,"['otherclub', 'profclub']",cals,Plant Science ,item6,item2,item3,item1,item1,item3,19:38,4to6,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Strongly Agree,2,4,48,willsee
item2,18,female,male,67,white,Los Angeles ,3,1,freshman,"['athlete', 'otherclub']",arts,Economics ,item7,item5,item7,item2,item1,item8,17:00,7to9,Agree,Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Sort of Agree,Disagree,Disagree,Agree,1,6,8,meetfam
item2,20,male,female,69,asian,Shanghai,2,2,sophomore,"['athlete', 'profclub', 'socialclub', 'projectteam']",cals,Environmental Sustainability Science & Information Science ,item6,item4,item6,item4,item2,item4,21:00,7to9,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,6,13,5,willsee
item1,21,male,female,70,white,Arlington,3,4,junior,"['socialclub', 'greeklife']",ilr,Industrial and Labor Relations,item1,item6,item6,item2,item5,item8,13:00,7to9,Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,1,2,48,willsee
item2,18,female,male,63,latino,Mayaguez Puerto Rico,3,4,freshman,['culturalclub'],arts,Biological Sciences,item11,item4,item2,item2,item1,item1,14:00,7to9,Agree,Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,1,8,4,willsee
item2,19,female,male,64,white,West Bloomfield,2,3,sophomore,"['socialclub', 'otherclub']",engineering,Operations Research,item4,item5,item3,item3,item1,item2,14:00,7to9,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Sort of Agree,Disagree,Disagree,1,6,12,willsee
item6,19,male,male,68,white,Chicago,1,1,freshman,['socialclub'],aap,Urban and Regional Studies,item11,item1,item7,item5,item1,item1,19:00,7to9,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,2,24,24,willsee
item2,20,female,male,62,white,,3,1,sophomore,"['proffrat', 'otherclub', 'profclub']",humec,"Human Biology, Health, and Society",item12,item1,item3,item1,item2,item8,12:00,7to9,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Sort of Agree,0,0,24,willsee
item2,21,male,female,70,asian,"Warminster, Pennsylvania",4,1,junior,"['projectteam', 'clubsports']",engineering,Electrical and Computer Engineering,item6,item6,item5,item3,item4,item7,14:30,7to9,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Agree,1,4,24,willsee
item5,20,female,female,64,asian,,2,2,junior,"['projectteam', 'clubsports', 'otherclub']",engineering,Electrical and Computer Engineering,item13,item4,item7,item6,item3,item4,21:00,7to9,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Sort of Agree,1,14,8,willsee
item5,22,female,male,64,latino,"Northridge, CA",3,1,alum,"['greeklife', 'profclub', 'otherclub']",cals,Biological Sciences,item3,item1,item6,item6,item1,item3,23:00,4to6,Agree,Agree,Disagree,Sort of Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,2,16 months,36,willsee
item2,19,female,female,63,white,Princeton,1,2,sophomore,"['athlete', 'socialclub', 'ta']",engineering,Computer Science,item3,item6,item5,item3,item1,item8,16:00,7to9,Strongly Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Sort of Agree,Strongly Agree,4,6,72,onenightstand
item2,21,female,either,66,asian,"Edison, NJ ",2,1,senior,"['otherclub', 'ta', 'culturalclub']",arts,Biological Sciences,item6,item2,item7,item3,item1,item8,0:00,4to6,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Sort of Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,1,25,24,willsee
item6,20,female,male,66,white,Greenwich,3,3,junior,"['greeklife', 'proffrat']",engineering,Operations Research,item6,item5,item4,item3,item5,item7,19:00,7to9,Sort of Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Sort of Agree,Agree,Agree,Agree,Agree,2,20,5,meetfriends
item6,24,female,female,66,white,"Atlanta, GA",3,2,alum,"['ta', 'ra']",engineering,Computer Science,item3,item5,item3,item7,item1,item4,22:00,4to6,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Agree,2,3,20,married
item2,20,female,male,66,other,"Samarkand, Uzbekistan",2,1,junior,"['proffrat', 'otherclub', 'ta']",arts,Biological Sciences,item1,item3,item7,item1,item1,item2,Afternoon/night,4to6,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,4,4,5,willsee
item5,20,female,either,66,white,"Reading, PA",2,2,junior,"['socialclub', 'culturalclub', 'otherclub', 'clubsports']",arts,Psychology,item5,item1,item7,item2,item3,item8,21:00,4to6,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Agree,Agree,Sort of Agree,Agree,Agree,0,,,willsee
item2,18,female,male,64,white,Boston,2,1,freshman,"['clubsports', 'socialclub', 'otherclub']",arts,English and Mathematics,item13,item4,item7,item7,item3,item1,8-10pm,7to9,Agree,Agree,Sort of Agree,Disagree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Agree,Sort of Agree,Strongly Agree,3,3,4,willsee
item5,22,male,either,6’,black,"Fullerton, Ca",3,3,senior,"['athlete', 'greeklife']",cals,Biology and society,item9,item6,item5,item5,item5,item4,17:00,7to9,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Disagree,3,3 months ,3 hours,meetfriends
item2,19,male,female,70,asian,Seoul,3,4,freshman,"['socialclub', 'otherclub']",cals,Environmental and Sustainability Sciences,item9,item4,item4,item6,item1,item4,20:00,4to6,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Sort of Agree,Agree,1,9,15,willsee
item6,22,male,female,70,white,"Cleveland, OH",2,2,senior,"['greeklife', 'otherclub']",humec,"Human Biology, Health, and Society.",item6,item4,item7,item5,item3,item1,16:00,7to9,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,2,28,24,willsee
item6,21,male,female,70,white,Canandaigua NY,3,4,senior,"['greeklife', 'otherclub']",cals,Animal science,item3,item5,item5,item6,item6,item6,19:01,4to6,Agree,Disagree,Strongly Agree,Sort of Agree,Agree,Sort of Agree,Agree,Strongly Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,1,48,24,willsee
item6,19,female,male,67,asian,Shanghai ,2,1,sophomore,"['profclub', 'projectteam', 'socialclub', 'culturalclub']",engineering,Information Science,item6,item4,item5,item3,item2,item4,past midnight ,4to6,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,Agree,0,0,5 hours,meetfriends
item2,18,female,male,64,asian,NYC,3,3,freshman,"['profclub', 'culturalclub']",engineering,Undeclared,item11,item4,item7,item1,item3,item8,10:00 PM,4to6,Strongly Agree,Agree,Sort of Agree,Disagree,Agree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,0,0,2,willsee
item1,19,male,male,71,asian,Ba,1,1,sophomore,"['projectteam', 'culturalclub', 'ta', 'profclub']",cals,Information Science,item1,item4,item2,item5,item3,item4,20:00,4to6,Sort of Agree,Disagree,Sort of Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,2,2,5,willsee
item4,19,male,female,71,white,"Austin, TX",3,3,freshman,"['clubsports', 'culturalclub']",engineering,Electrical and Computer Engineering,item2,item6,item3,item2,item1,item1,14:00,7to9,Strongly Agree,Sort of Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Sort of Agree,Agree,Disagree,Agree,Agree,Strongly Agree,1,3,16,meetfam
item2,20,female,male,61,asian,"Syracuse, NY",2,4,junior,['culturalclub'],humec,Human Development,item13,item1,item5,item5,item1,item4,15:28,4to6,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Sort of Agree,Agree,Agree,Agree,Agree,0,n/a,24 hours,willsee
item2,23,female,male,67,white,"Assen, the Netherlands ",2,1,senior,"['greeklife', 'clubsports']",cals,Biology,item3,item5,item5,item4,item6,item1,15:00,7to9,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Disagree,Sort of Agree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Disagree,Sort of Agree,Strongly Agree,3,30,24,willsee
item2,20,male,female,68,asian,"Tokyo, Japan",2,1,junior,['otherclub'],arts,Computer Science,item5,item1,item7,item3,item4,item4,20:00,4to6,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Disagree,Agree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Agree,2,3,24,willsee
item1,20,female,either,71,white,San Francisco,1,2,senior,,arts,American Studies,item3,item3,item5,item5,item1,item4,20:00,7to9,Strongly Agree,Disagree,Agree,Agree,Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Strongly Agree,Sort of Agree,Strongly Agree,Disagree,Agree,3,6,24,willsee
item2,19,male,male,65,latino,Suffern NY,2,1,sophomore,['otherclub'],arts,Biological Sciences,item3,item6,item5,item2,item2,item2,18:30,7to9,Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,4,3,4,meetfriends
item6,21,female,male,67,white,"Washington, DC",2,1,junior,['clubsports'],arts,Information Science,item6,item4,item4,item6,item5,item7,15:00,7to9,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Agree,Agree,5,10,5,willsee
item6,21,female,male,72,white,,3,1,junior,['athlete'],cals,Applied economics and management ,item6,item4,item7,item2,item5,item3,10:00,7to9,Agree,Sort of Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Sort of Agree,1,1,7,willsee
item2,19,male,female,66,asian,Boston,3,3,sophomore,"['projectteam', 'culturalclub', 'socialclub']",engineering,Electrical and computer engineering,item13,item4,item7,item3,item1,item7,16:03,4to6,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,Sort of Agree,0,Never been in one,25,willsee
item6,19,male,female,76,other,"Brooklyn, NY",4,3,sophomore,['athlete'],ilr,ILR,item13,item4,item7,item1,item6,item3,20:00,4to6,Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,1,6 months,24,willsee
item2,20,female,male,67,white,Eagan,2,3,sophomore,"['athlete', 'greeklife']",cals,Applied Economics and Management (Finance),item9,item5,item7,item1,item6,item4,11:30,7to9,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Agree,Agree,Strongly Disagree,Sort of Agree,Strongly Disagree,1,6,24,willsee
item5,22,female,male,65,asian,,2,1,senior,['greeklife'],engineering,Computer Science,item6,item4,item2,item6,item3,item7,21:00,7to9,Sort of Agree,Agree,Disagree,Strongly Disagree,Sort of Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Sort of Agree,2,3,5,willsee
item3,20,female,male,59,asian,Troy ,2,1,junior,"['socialclub', 'clubsports', 'profclub', 'ra', 'ta']",engineering,Chemical engineering ,item11,item4,item7,item6,item1,item8,17:30,7to9,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Sort of Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Sort of Agree,0,0,3,meetfriends
item2,19,male,female,72,white,"Alfred, NY",2,1,sophomore,"['projectteam', 'socialclub', 'otherclub']",arts,Computer Science,item5,item5,item4,item4,item4,item5,15:30,7to9,Sort of Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Disagree,Sort of Agree,Agree,2,40,24,married
item2,20,female,male,61,white,Christiana,1,1,junior,"['proffrat', 'culturalclub', 'profclub']",arts,Biology,item3,item1,item3,item7,item4,item1,night,7to9,Agree,Agree,Strongly Disagree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,Agree,Agree,Sort of Agree,Agree,0,0,24,meetfriends
