_id,data.gender,data.genderpref,data.age,data.agepref,data.height,data.ethnicity,data.politics,data.year,data.activities,data.college,data.major,data.friday,data.date,data.work,data.sleephabits,data.plans,data.meal,data.perfectday,data.desscribeyou,data.describepartner,data.todolist,data.startover,data.timeormoney,data.quality,data.p1,data.p2,data.p3,data.p4,data.p5,data.p6,data.p7,data.p8,data.p9,data.p10,data.p11,data.p12,data.p13,data.p14,data.p15,data.p16,data.p17,data.p18,data.introvert,data.numdated,data.longestrelationship,data.commitment,personality
ObjectId(5e370de1105b996bddd61632),male,"[""female""]",20,"{""youngest"":""18"",""oldest"":""21""}",71,white,4,sophomore,"[""profclub"",""clubsports"",""greeklife"",""athlete"",""proffrat""]",humec,"Human Biology, Health, and Society",mixer,starbucks,evening,"{""sleeptime"":""1:30 am"",""waketime"":""9:15 am""}",flow,artist,friends,"funny, cute, smart","sweet, cute, social",yes,no,money,humor,Agree,Agree,Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,7,1,3,willsee,ESTP
ObjectId(5e370f06105b996bddd61633),male,"[""female"",""male""]",18,"{""youngest"":""17"",""oldest"":""20""}",72,eastasian,3,freshman,"[""otherclub"",""ta"",""projectteam"",""profclub""]",arts,Computer Science,netflixchill,bubbletea,afternoon,"{""sleeptime"":""3 am"",""waketime"":""9:25 am""}",shift,entrepreneur,friends,"diligent, quirky,  thoughtful","caring, carefree, humorous",yes,no,time,thoughtfulness,Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Sort of Agree,Agree,Disagree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,Agree,7,3,24,plantomeet,ESTP
ObjectId(5e370fd5105b996bddd61634),male,"[""female""]",21,"{""youngest"":""18"",""oldest"":""23""}",15,white,1,junior,"[""none""]",arts,English & Government,study,commons,nocturnal,"{""sleeptime"":""2:30 A.M"",""waketime"":""10:00 A.M""}",flow,political,friends,"kind, dependable, sincere","empathetic, expressive, thoughtful",no,yes,time,thoughtfulness,Agree,Sort of Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Sort of Agree,Agree,Agree,Strongly Agree,Sort of Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,3,2,8,willsee,ISTJ
ObjectId(5e37106a105b996bddd61635),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""21""}",63,eastasian,3,sophomore,"[""projectteam"",""ta""]",engineering,Computer Science,netflixchill,bubbletea,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,scientist,city,"reliable, funny, considerate","reliable, honest, smart",no,yes,time,reliability,Sort of Agree,Agree,Sort of Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Sort of Agree,5,0,0,willsee,INTP
ObjectId(5e371143105b996bddd61636),female,"[""male""]",20,"{""youngest"":""20"",""oldest"":""21""}",63,eastasian,2,junior,"[""profclub""]",humec,Policy Analysis and Management,pjsnetflix,bubbletea,evening,"{""sleeptime"":""2:00am"",""waketime"":""8:00am""}",shift,artist,gaming,"friendly, compassionate, caring","Faithful, kind, sincere",yes,no,money,reliability,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Agree,Agree,Sort of Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,4,1,3,willsee,ISFJ
ObjectId(5e371301105b996bddd61637),female,"[""male"",""female""]",21,"{""youngest"":""20"",""oldest"":""22""}",65,latino,1,junior,"[""none""]",engineering,CS,pjsnetflix,commons,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,artist,sleep,"funny, thoughtful, compassionate","funny, thoughtful, compassionate ",no,no,money,thoughtfulness,Sort of Agree,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Strongly Agree,1,0,0,willsee,ISFJ
ObjectId(5e37138d105b996bddd61638),female,"[""male""]",20,"{""youngest"":""19"",""oldest"":""24""}",67,white,2,junior,"[""proffrat"",""otherclub""]",humec,PAM,mixer,ctb,evening,"{""sleeptime"":""12:30 am"",""waketime"":""8 am""}",flow,artist,friends,"curious, spontaneous, fun","funny, kind, genuine",yes,no,time,humor,Agree,Strongly Agree,Disagree,Sort of Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Sort of Agree,7,,,willsee,ESFP
ObjectId(5e3713f7105b996bddd61639),female,"[""male""]",20,"{""youngest"":""19"",""oldest"":""22""}",61,southasian,3,junior,"[""profclub"",""socialclub"",""ta"",""clubsports""]",cals,AEM,pjsnetflix,ctowndinner,afternoon,"{""sleeptime"":""12am"",""waketime"":""7:30am""}",flow,entrepreneur,outdoor,"sarcastic, outgoing, adventurous ","funny, adventurous, outgoing",yes,yes,time,humor,Sort of Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Agree,Sort of Agree,Agree,Agree,Agree,Agree,Sort of Agree,Disagree,8,1,12,willsee,ESTP
ObjectId(5e371406105b996bddd6163a),male,"[""female""]",21,"{""youngest"":""19"",""oldest"":""22""}",70,southasian,2,junior,"[""profclub"",""clubsports"",""socialclub"",""ta""]",cals,AEM,netflixchill,ctb,afternoon,"{""sleeptime"":""12"",""waketime"":""7""}",flow,entrepreneur,city,"Quirky, funny, ambitious ","Quirky, funny, ambitious",yes,no,time,humor,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,6,0,0,willsee,ESTP
ObjectId(5e37156d105b996bddd6163b),male,"[""female""]",21,"{""youngest"":""18"",""oldest"":""21""}",72,white,2,junior,"[""projectteam""]",engineering,Engineering Physics and Computer Science,study,bubbletea,nocturnal,"{""sleeptime"":""12:00 AM"",""waketime"":""4:00 AM""}",shift,scientist,study,"Funny, hard-working, driven","Funny, hard-working, driven",yes,yes,time,reliability,Sort of Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Strongly Agree,Sort of Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,2,4,plantomeet,INFP
ObjectId(5e371597105b996bddd6163c),male,"[""female""]",21,"{""youngest"":""19"",""oldest"":""23""}",75,eastasian,2,junior,"[""profclub"",""otherclub""]",engineering,Computer Science,netflixchill,bubbletea,nocturnal,"{""sleeptime"":""1 AM"",""waketime"":""10 AM""}",flow,actor,sleep,"Eccentric, Happy, Level","Fun, Adventurous, Comforting",yes,no,money,thoughtfulness,Agree,Sort of Agree,Agree,Agree,Sort of Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Strongly Agree,3,4,24,meetfriends,ISTP
ObjectId(5e37160c105b996bddd6163d),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""23""}",59,eastasian,4,senior,"[""proffrat"",""otherclub""]",cals,Biology and Society ,mixer,ctowndinner,evening,"{""sleeptime"":""1:30am"",""waketime"":""9am""}",new,artist,friends,"Funny, outgoing, energetic ","Committed, respectful, honest",no,yes,time,reliability,Strongly Agree,Agree,Sort of Agree,Disagree,Disagree,Disagree,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Agree,Disagree,9,1,10,meetfriends,ESTP
ObjectId(5e371651105b996bddd6163e),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""19""}",62,southasian,1,freshman,"[""ra"",""otherclub"",""socialclub""]",arts,Chemistry,pjsnetflix,dininghall,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,entrepreneur,sleep,"ambitious, wholesome, spontaneous","spontaneous, smart, funny",yes,no,time,independence,Sort of Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,4,1,30,willsee,ISTJ
ObjectId(5e37174c105b996bddd6163f),female,"[""female""]",20,"{""youngest"":""18"",""oldest"":""23""}",69,black,2,junior,"[""ra"",""culturalclub"",""socialclub"",""greeklife""]",cals,Biology & Society ,netflixchill,commons,evening,"{""sleeptime"":""1:00"",""waketime"":""9:00""}",shift,artist,netflix,"Charming, caring, relaxed","Caring, funny, outgoing ",yes,yes,time,reliability,Sort of Agree,Sort of Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Sort of Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,8,5,10,plantomeet,ESTJ
ObjectId(5e37175c105b996bddd61640),female,"[""male"",""female""]",19,"{""youngest"":""19"",""oldest"":""21""}",64.8,eastasian,3,sophomore,"[""proffrat"",""profclub"",""projectteam"",""socialclub"",""culturalclub""]",arts,Information Science,pjsnetflix,commons,evening,"{""sleeptime"":""12am"",""waketime"":""8am""}",flow,entrepreneur,city,"outgoing, loyal, bright","Funny, knowledgeable, charming",yes,yes,money,reliability,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Sort of Agree,Agree,7,1,8,plantomeet,ENTJ
ObjectId(5e3718ab105b996bddd61641),male,"[""male""]",20,"{""youngest"":""16"",""oldest"":""30""}",73,white,2,sophomore,"[""greeklife"",""clubsports"",""socialclub"",""otherclub"",""profclub""]",cals,Entomology ,mixer,ctb,nocturnal,"{""sleeptime"":""1am"",""waketime"":""9am""}",flow,entrepreneur,outdoor,"ambitious, curious, fun","adaptive, determined, fun",yes,no,time,thoughtfulness,Disagree,Strongly Agree,Sort of Agree,Agree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Agree,Sort of Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,9,2,2,plantomeet,ENTP
ObjectId(5e37190f105b996bddd61642),female,"[""male""]",21,"{""youngest"":""20"",""oldest"":""22""}",63,white,2,junior,"[""otherclub"",""profclub"",""socialclub""]",arts,Science & Technology Studies,pjsnetflix,ctb,evening,"{""sleeptime"":""11:30"",""waketime"":""8:30""}",flow,artist,friends,"easy-going, caring, genuine","caring, funny, thoughtful ",yes,no,time,thoughtfulness,Agree,Agree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Sort of Agree,Disagree,Sort of Agree,Disagree,Agree,5,0,0,willsee,ISTJ
ObjectId(5e371b46105b996bddd61643),male,"[""female""]",21,"{""youngest"":""18"",""oldest"":""22""}",67,southasian,3,junior,"[""culturalclub"",""profclub""]",ilr,ILR,annex,ctowndinner,nocturnal,"{""sleeptime"":""2AM - 9AM"",""waketime"":""9AM""}",new,political,friends,"Lit, Spontaneous, Dependable","Adventurous, Passionate, Caring",no,yes,money,reliability,Disagree,Agree,Sort of Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,7,2,10 months,plantomeet,ENTP
ObjectId(5e371bc4105b996bddd61644),male,"[""female""]",18,"{""youngest"":""18"",""oldest"":""20""}",70,white,4,freshman,"[""none""]",arts,Computer Science,netflixchill,coffee,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,athlete,friends,"Funny, Smart, Committed","Funny, Cute, Smart",yes,no,time,humor,Agree,Sort of Agree,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Disagree,Strongly Disagree,Sort of Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Agree,8,1,4,willsee,ESTP
ObjectId(5e371d942dd0db6dee9993f4),male,"[""female""]",21,"{""youngest"":""18"",""oldest"":""24""}",70,eastasian,3,senior,"[""athlete"",""greeklife"",""proffrat"",""profclub"",""otherclub""]",arts,Biology and Economics,mixer,coffee,nocturnal,"{""sleeptime"":""2"",""waketime"":""11""}",flow,entrepreneur,outdoor,"Funny, Chill, Quirky","Independent, Driven, Chill",yes,no,time,independence,Agree,Sort of Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Sort of Agree,Sort of Agree,7,4,13,willsee,ESFP
ObjectId(5e371ed72dd0db6dee9993f5),female,"[""male""]",18,"{""youngest"":""18"",""oldest"":""21""}",63,eastasian,2,freshman,"[""socialclub"",""culturalclub""]",cals,Information Science,pjsnetflix,bubbletea,evening,"{""sleeptime"":""2 am"",""waketime"":""10 am""}",flow,artist,friends,"Funny, chill, caring","Caring, funny, loyal ",no,yes,money,reliability,Strongly Agree,Sort of Agree,Agree,Disagree,Sort of Agree,Disagree,Sort of Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Sort of Agree,Strongly Disagree,Strongly Agree,4,0,0,willsee,ISTJ
ObjectId(5e371f402dd0db6dee9993f6),female,"[""male""]",19,"{""youngest"":""18"",""oldest"":""24""}",66,other,4,sophomore,"[""socialclub"",""otherclub""]",cals,Communication ,pjsnetflix,coffee,nocturnal,"{""sleeptime"":""2am"",""waketime"":""9am""}",shift,entrepreneur,netflix,"Witty,Dedicated,Oddball,","Determined,Funny, Kind",yes,no,time,reliability,Disagree,Sort of Agree,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,2,0,0,willsee,ISTP
ObjectId(5e371fa82dd0db6dee9993f7),male,"[""male"",""female"",""other""]",20,"{""youngest"":""16"",""oldest"":""22""}",72,other,3,junior,"[""otherclub"",""projectteam""]",arts,Psych and Cog Sci bababayyyyyy,mixer,bubbletea,morning,"{""sleeptime"":""12"",""waketime"":""8""}",new,entrepreneur,outdoor,"spiritual, loud, leader","wholesome, understanding, leader",yes,no,money,humor,Agree,Strongly Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Strongly Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,9,0,0,meetfriends,ESTP
ObjectId(5e371fb22dd0db6dee9993f8),female,"[""male""]",20,"{""youngest"":""20"",""oldest"":""28""}",64,eastasian,3,senior,"[""profclub"",""socialclub"",""culturalclub"",""clubsports""]",humec,Human development ,pjsnetflix,bubbletea,morning,"{""sleeptime"":""12"",""waketime"":""7:30""}",flow,athlete,outdoor,"optimistic, spontaneous, caring ","Funny, energetic, caring ",yes,no,time,humor,Sort of Agree,Sort of Agree,Disagree,Sort of Agree,Agree,Sort of Agree,Sort of Agree,Agree,Disagree,Disagree,Sort of Agree,Sort of Agree,Agree,Agree,Agree,Strongly Disagree,Sort of Agree,Strongly Disagree,7,3,26,willsee,ENTP
ObjectId(5e371fb52dd0db6dee9993f9),male,"[""female""]",22,"{""youngest"":""18"",""oldest"":""23""}",67,white,1,senior,"[""clubsports""]",cals,Biological Sciences,bars,ctb,evening,"{""sleeptime"":""12"",""waketime"":""8""}",flow,scientist,friends,"Driven, smart, caring","Funny, smart, attractive",yes,yes,time,reliability,Agree,Agree,Disagree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Sort of Agree,Strongly Agree,Strongly Agree,Sort of Agree,Disagree,Disagree,8,2,12,willsee,ESTP
ObjectId(5e371fb72dd0db6dee9993fa),male,"[""female""]",19,"{""youngest"":""18"",""oldest"":""21""}",72,southasian,2,sophomore,"[""proffrat"",""profclub""]",hotel,Hotel Administration,pjsnetflix,coffee,afternoon,"{""sleeptime"":""11 PM"",""waketime"":""7 AM""}",shift,political,friends,"funny, driven, passionate","passionate, curious, funny",no,yes,time,thoughtfulness,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Sort of Agree,Agree,Agree,Sort of Agree,Disagree,Disagree,Strongly Agree,Disagree,Sort of Agree,Agree,Strongly Agree,Disagree,Strongly Agree,6,3,24,plantomeet,ESTP
ObjectId(5e371fc12dd0db6dee9993fb),female,"[""male""]",22,"{""youngest"":""21"",""oldest"":""25""}",66,eastasian,2,senior,"[""greeklife"",""profclub"",""socialclub"",""ra"",""culturalclub"",""otherclub""]",humec,Design + Environmental Analysis,bars,ctb,afternoon,"{""sleeptime"":""1am"",""waketime"":""9am""}",flow,artist,newfood,"Spontaneous, driven, creative","Respectful, confident, charismatic",no,yes,money,independence,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Sort of Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Disagree,Agree,Sort of Agree,Agree,6,3,24,willsee,ENTP
ObjectId(5e371fc62dd0db6dee9993fc),female,"[""male""]",20,"{""youngest"":""20"",""oldest"":""23""}",67,white,1,junior,"[""clubsports"",""ta"",""profclub""]",engineering,Materials Science and Engineering,bars,ctowndinner,evening,"{""sleeptime"":""12:00am"",""waketime"":""8:00am""}",flow,political,outdoor,"witty, thoughtful, adventurous","funny, adventurous, charismatic ",yes,no,time,reliability,Sort of Agree,Strongly Agree,Sort of Agree,Sort of Agree,Sort of Agree,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Sort of Agree,Disagree,Agree,Sort of Agree,Agree,5,2,14 months,willsee,ISTP
ObjectId(5e371ff62dd0db6dee9993fe),female,"[""male""]",19,"{""youngest"":""19"",""oldest"":""21""}",69,white,1,junior,"[""clubsports"",""socialclub""]",cals,Biological Sciences,pjsnetflix,ctowndinner,evening,"{""sleeptime"":""11PM"",""waketime"":""7AM""}",shift,athlete,city,"smart, hardworking, caring","smart, kind, optimistic",yes,no,time,thoughtfulness,Disagree,Sort of Agree,Strongly Disagree,Sort of Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sort of Agree,Sort of Agree,Strongly Disagree,Disagree,6,1,19,fun,ENFP
ObjectId(5e3720312dd0db6dee9993ff),female,"[""male""]",21,"{""youngest"":""21"",""oldest"":""30""}",68.5,black,1,senior,"[""ta"",""otherclub""]",humec,Global and Public Health Sciences,pjsnetflix,commons,morning,"{""sleeptime"":""1130"",""waketime"":""630""}",shift,political,newfood,"Hilarious, Smart, Ambitious ","Equally-Ambitious, Funny, Tall[(er) than me]",yes,no,money,reliability,Sort of Agree,Sort of Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Sort of Agree,Disagree,Agree,Agree,Sort of Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,3,0.5,8,fun,INTJ
ObjectId(5e3720552dd0db6dee999400),female,"[""male""]",19,"{""youngest"":""19"",""oldest"":""21""}",68,southasian,2,sophomore,"[""projectteam"",""ta""]",engineering,Computer Science,bars,ctowndinner,nocturnal,"{""sleeptime"":""2:00"",""waketime"":""10:00""}",flow,scientist,friends,"loving, social, talkative ","charming, funny, smart",no,no,time,reliability,Agree,Sort of Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,8,3,9,willsee,ENTJ
